year,table,institution,Russell group,region,entry tariff,student satisfaction,research quality,overall score,rank,graduate outcomes,graduate plans on track
2023,Marketing,Durham,Member,Outside London,177,4,3.32,94,3,74,80
2023,Accounting & finance,Middlesex,Non-member,London,104,3.64,3.15,77.8,87,34,66
2023,Business & management,Middlesex,Non-member,London,109,3.71,3.15,76.6,86,41,61
2023,Marketing,Middlesex,Non-member,London,109,3.82,3.15,79.4,45,58,78
2023,Accounting & finance,Sunderland,Non-member,Outside London,106,4.06,,73.9,98,52,64
2023,Business & management,Sunderland,Non-member,Outside London,101,4.21,,72.2,116,42,71
2023,Marketing,Sunderland,Non-member,Outside London,113,4.04,,72.5,84,,
2023,Accounting & finance,Teesside,Non-member,Outside London,118,3.82,2.6,82.8,55,62,70
2023,Business & management,Teesside,Non-member,Outside London,98,3.56,2.98,76.1,90,55,65
2023,Marketing,Teesside,Non-member,Outside London,122,3.47,2.98,76.9,62,54,64
2023,Accounting & finance,Newcastle,Member,Outside London,147,3.8,3.06,92,25,74,78
2023,Business & management,Newcastle,Member,Outside London,144,3.47,3.06,85.8,33,78,70
2023,Marketing,Newcastle,Member,Outside London,149,3.6,3.06,86.6,14,80,68
2023,Accounting & finance,Liverpool Hope,Non-member,Outside London,110,3.65,2.37,81.1,67,60,
2023,Business & management,Liverpool Hope,Non-member,Outside London,110,3.82,2.48,75.8,96,43,64
2023,Business & management,Ravensbourne,Non-member,London,,4.28,,75.9,94,53,74
2023,Marketing,Ravensbourne,Non-member,London,76,4.02,,71.4,87,80,76
2023,Marketing,Liverpool Hope,Non-member,Outside London,107,4.11,2.48,75.5,71,46,68
2023,Accounting & finance,John Moores,Non-member,Outside London,115,4.2,2.42,83,53,54,80
2023,Business & management,John Moores,Non-member,Outside London,124,3.7,2.42,78,75,59,67
2023,Accounting & finance,Royal Holloway,Non-member,London,111,3.82,3.12,85.4,45,56,82
2023,Business & management,Royal Holloway,Non-member,London,126,3.59,3.12,84.2,39,65,82
2023,Marketing,Royal Holloway,Non-member,London,127,3.2,3.12,81.5,32,66,82
2023,Marketing,John Moores,Non-member,Outside London,128,3.67,,73.1,81,54,74
2023,Accounting & finance,Manchester Met,Non-member,Outside London,115,3.73,3.07,81.1,68,50,66
2023,Business & management,Manchester Met,Non-member,Outside London,116,3.73,3.07,79.6,63,60,64
2023,Marketing,Manchester Met,Non-member,Outside London,117,3.62,3.07,79.6,44,66,74
2023,Accounting & finance,Bolton,Non-member,Outside London,126,4.69,1.51,83.3,50,,
2023,Business & management,Bolton,Non-member,Outside London,90,4.08,1.51,70.4,122,,
2023,Accounting & finance,Liverpool,Member,Outside London,148,4.23,3.38,94.9,15,64,84
2023,Business & management,Liverpool,Member,Outside London,142,3.74,3.38,87.7,25,71,73
2023,Marketing,Liverpool,Member,Outside London,151,3.82,3.38,88.7,11,82,58
2023,Accounting & finance,Central Lancs,Non-member,Outside London,128,3.42,2.67,80.5,73,50,72
2023,Accounting & finance,West London,Non-member,London,112,4.54,,74.4,95,28,70
2023,Business & management,West London,Non-member,London,102,4.09,,72.8,111,51,69
2023,Marketing,West London,Non-member,London,116,4.03,,72.9,82,,
2023,Business & management,Central Lancs,Non-member,Outside London,124,4.07,2.67,79.7,62,59,57
2023,Marketing,Central Lancs,Non-member,Outside London,112,3.61,2.67,76.7,63,62,76
2023,Accounting & finance,Salford,Non-member,Outside London,108,3.82,2.62,78.1,85,48,64
2023,Business & management,Salford,Non-member,Outside London,117,3.85,2.62,79.2,67,63,67
2023,Marketing,Salford,Non-member,Outside London,119,3.53,2.62,75.9,68,62,64
2023,Accounting & finance,Lancaster,Non-member,Outside London,139,4.1,3.39,94.3,17,74,82
2023,Business & management,Lancaster,Non-member,Outside London,136,3.93,3.39,87.9,24,71,72
2023,Marketing,Lancaster,Non-member,Outside London,143,4.13,3.39,90.1,10,78,76
2023,Accounting & finance,Manchester,Member,Outside London,170,3.8,3.48,97.2,10,72,80
2023,Business & management,Manchester,Member,Outside London,168,3.69,3.48,92.1,14,77,77
2023,Marketing,Manchester,Member,Outside London,160,3.83,3.48,91.7,8,78,76
2023,Accounting & finance,Edge Hill,Non-member,Outside London,122,3.69,2.56,80.1,76,40,74
2023,Business & management,Edge Hill,Non-member,Outside London,121,3.81,2.56,77.3,82,49,61
2023,Marketing,Edge Hill,Non-member,Outside London,,3.66,2.56,78.2,56,64,72
2023,Business & management,Cumbria,Non-member,Outside London,114,3.73,2.1,74.6,106,43,76
